"legacy_path","canonical_path","hash","bytes","kind","replacement_type","poster_path","video_webm_path","video_mp4_path","backup_path","preserve_original_in_repo","referenced","included_in_live_site"
"uploads/9/1/6/0/91600416/nichols_-_psychedelics_1.pdf","/library/pdfs/nichols-psychedelics.pdf","7720C867111E9DF7DB571F4C29E5831C222718C5E49FE2940774888BAD139DAA","431737","pdf","deduped","","","","","True","False","True"
"uploads/9/1/6/0/91600416/nutshell_2.gif","","0ED62556D7C71675D9F00F3DBA2320E966DF94A9D5C003CD2B7E50A4F3145934","3318624","animation","excluded-unreferenced","","","","","False","False","False"
"uploads/9/1/6/0/91600416/o_regan_-_on_the_feel_of_things.pdf","/library/pdfs/o-regan-on-the-feel-of-things.pdf","6EF6B891FB90F01FB86E327A1D9D318E850C4870E1E7C30AFF60AEB5A5166AFD","158027","pdf","same","","","","","True","True","True"
"uploads/9/1/6/0/91600416/o_regan_-_on_the_feel_of_things_1.pdf","/library/pdfs/o-regan-on-the-feel-of-things.pdf","6EF6B891FB90F01FB86E327A1D9D318E850C4870E1E7C30AFF60AEB5A5166AFD","158027","pdf","deduped","","","","","True","False","True"
"uploads/9/1/6/0/91600416/oliver_orig.png","","64FA7708ED14FC6B2309E7FEC9E5042C4017D2F4692352FCFB92133A81A1E298","393568","image","excluded-unreferenced","","","","","False","False","False"
"uploads/9/1/6/0/91600416/output_1.gif","/media/animations/output-1.gif","DBB3BA86C6A7EA7010E3E1F5332BF7E8139E4426DC6DFB5007B2D820902F9CB3","78731692","animation","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/output_orig.gif","/media/animations/output-1.gif","DBB3BA86C6A7EA7010E3E1F5332BF7E8139E4426DC6DFB5007B2D820902F9CB3","78731692","animation","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/output-lossless_1.gif","/media/images/output-lossless-1.gif","937A848B5B5E12EA2909A2AF1278C2D8E8A09BC64E011BD468EF0AEB09BBF8F9","1391638","image","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/output-lossless_3.gif","/media/images/output-lossless-1.gif","937A848B5B5E12EA2909A2AF1278C2D8E8A09BC64E011BD468EF0AEB09BBF8F9","1391638","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/output-lossless_4.gif","/media/images/output-lossless-1.gif","937A848B5B5E12EA2909A2AF1278C2D8E8A09BC64E011BD468EF0AEB09BBF8F9","1391638","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/pawel_3.png","/media/images/pawel-4.png","0D6AEA3FAEE0B14786DBBCDE0B60DCF4CAF4E4DB352EA8ECB43E237270B45B42","100266","image","deduped","","","","","False","False","True"
"uploads/9/1/6/0/91600416/pawel_4.png","/media/images/pawel-4.png","0D6AEA3FAEE0B14786DBBCDE0B60DCF4CAF4E4DB352EA8ECB43E237270B45B42","100266","image","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/pawel_orig.png","/media/images/pawel-4.png","0D6AEA3FAEE0B14786DBBCDE0B60DCF4CAF4E4DB352EA8ECB43E237270B45B42","100266","image","deduped","","","","","False","False","True"
